Visit 2,Visit 3,Visit 4,Visit 5
0.59,0.78,0.85,0.85
0.7,0.72,0.8,0.91
0.65,0.81,0.89,0.84
0.69,0.76,0.8,0.77
0.62,0.81,0.88,0.79
0.54,0.8,0.82,0.88
0.6,0.8,0.86,0.91
0.61,0.78,0.84,0.87
0.63,0.88,0.83,0.88
0.62,0.84,0.82,0.82
0.63,0.76,0.87,0.86
0.59,0.81,0.85,0.79
0.6,0.79,0.88,0.84
0.63,0.85,0.89,0.81
0.63,0.83,0.84,0.77
0.66,0.76,0.8,0.86
0.65,0.81,0.88,0.8
0.66,0.83,0.82,0.87
0.62,0.8,0.85,0.83
0.68,0.76,0.9,0.77
0.57,0.83,0.79,0.8
0.55,0.81,0.94,0.83
0.6,0.78,0.89,0.79
0.6,0.77,0.82,0.83
0.62,0.83,0.8,0.85
0.41,0.87,0.9,0.84
0.61,0.85,0.85,0.86
0.66,0.81,0.89,0.85
0.59,0.78,0.88,0.85
0.6,0.8,0.84,0.91
0.64,0.74,0.83,0.86
0.61,0.81,0.87,0.75
0.62,0.81,0.83,0.81
0.68,0.83,0.81,0.78
0.57,0.79,0.86,0.88
0.64,0.87,0.87,0.87
0.58,0.81,0.9,0.87
0.58,0.83,0.85,0.93
0.66,0.8,0.82,0.88
0.65,0.83,0.83,0.87
0.57,0.78,0.88,0.86
0.61,0.74,0.86,0.86
0.6,0.77,0.87,0.79
0.45,0.87,0.85,0.79
0.66,0.81,0.84,0.88
0.69,0.75,0.86,0.88
0.66,0.84,0.9,0.91
0.6,0.8,0.89,0.9
0.65,0.75,0.83,0.85
0.53,0.78,0.85,0.85
